course,campus,fall25,winter26,spring26,base_term,seats_9pct_decrease,sections_9pct,seats_5pct_decrease,sections_5pct
FOUN 110,Savannah,1950,231,71,Fall 2025,1774.5,89,1852.5,93
FOUN 110,SCADnow,142,100,42,Fall 2025,129.2,7,134.9,7
FOUN 111,Savannah,1648,549,133,Fall 2025,1499.7,75,1565.6,79
FOUN 111,SCADnow,149,77,60,Fall 2025,135.6,7,141.5,8
FOUN 112,Savannah,692,1710,657,Spring 2026,597.9,30,624.1,32
FOUN 112,SCADnow,112,144,110,Spring 2026,100.1,6,104.5,6
FOUN 113,Savannah,100,802,1034,Spring 2026,940.9,48,982.3,50
FOUN 113,SCADnow,82,120,245,Spring 2026,223.0,12,232.8,12
FOUN 220,Savannah,280,714,263,Spring 2026,239.3,12,249.8,13
FOUN 220,SCADnow,46,42,51,Spring 2026,46.4,3,48.4,3
FOUN 230,Savannah,237,178,188,Spring 2026,171.1,9,178.6,9
FOUN 230,SCADnow,49,29,37,Spring 2026,33.7,2,35.1,2
FOUN 240,Savannah,553,266,212,Fall 2025,503.2,26,525.4,27
FOUN 240,SCADnow,66,60,74,Fall 2025,60.1,4,62.7,4
FOUN 245,Savannah,123,107,253,Spring 2026,230.2,12,240.3,13
FOUN 245,SCADnow,0,39,38,Spring 2026,34.6,2,36.1,2
FOUN 250,Savannah,249,236,133,Fall 2025,226.6,12,236.5,12
FOUN 250,SCADnow,37,41,65,Fall 2025,33.7,2,35.1,2
FOUN 251,Savannah,218,189,156,Fall 2025,198.4,10,207.1,11
FOUN 251,SCADnow,58,75,62,Fall 2025,52.8,3,55.1,3
FOUN 260,Savannah,39,38,53,Fall 2025,35.5,2,37.0,2
