CRN,Term,Course,Section #,Course Title,Meeting Pattern,Instructor,Room,Enrollment,Maximum Enrollment,Waitlist,Wait Total
,Spring 2026,FOUN 111,01,FOUN 111,,,Clark Hall 001,68,68,0,0
,Spring 2026,FOUN 112,01,FOUN 112,,,Clark Hall 001,455,455,0,0
,Spring 2026,FOUN 113,01,FOUN 113,,,Clark Hall 001,727,727,0,0
,Spring 2026,FOUN 220,01,FOUN 220,,,Clark Hall 001,459,459,0,0
,Spring 2026,FOUN 230,01,FOUN 230,,,Clark Hall 001,131,131,0,0
,Spring 2026,FOUN 240,01,FOUN 240,,,Clark Hall 001,97,97,0,0
,Spring 2026,FOUN 245,01,FOUN 245,,,Clark Hall 001,243,243,0,0
,Spring 2026,FOUN 250,01,FOUN 250,,,Clark Hall 001,34,34,0,0
,Spring 2026,FOUN 251,01,FOUN 251,,,Clark Hall 001,124,124,0,0
,Spring 2026,FOUN 260,01,FOUN 260,,,Clark Hall 001,149,149,0,0
,Spring 2026,FOUN 112,N01,FOUN 112,,,Clark Hall 001,49,49,0,0
,Spring 2026,FOUN 113,N01,FOUN 113,,,Clark Hall 001,82,82,0,0
,Spring 2026,FOUN 220,N01,FOUN 220,,,Clark Hall 001,63,63,0,0
,Spring 2026,FOUN 251,N01,FOUN 251,,,Clark Hall 001,57,57,0,0
,Spring 2026,FOUN 260,N01,FOUN 260,,,Clark Hall 001,39,39,0,0
