Course,SAV_Demand,SAV_Sections,ATL_Demand,ATL_Sections,SCADnow_Demand,SCADnow_Sections,Total_Demand,Total_Sections
FOUN 110,219,13,57,4,95,6,371,23
FOUN 111,385,22,108,6,73,5,566,33
FOUN 112,1624,91,203,12,136,8,1963,111
FOUN 113,761,43,181,11,114,7,1056,61
FOUN 220,867,49,153,9,39,3,1059,61
FOUN 222,5,1,0,0,0,0,5,1
FOUN 230,341,19,56,4,27,2,424,25
FOUN 240,252,14,2,1,57,4,311,19
FOUN 245,206,12,36,2,37,3,279,17
FOUN 250,224,13,0,0,38,3,262,16
FOUN 251,179,10,0,0,71,4,250,14
FOUN 260,36,2,0,0,0,0,36,2
FOUN 261,5,1,0,0,0,0,5,1
FOUN 331,0,0,0,0,0,0,0,0
FOUN 520,0,0,0,0,0,0,0,0
