DEPT,SUBJ,CRS NUMBER,CAMPUS,MAX ENR,ACT ENR,TERM
FOUN,DRAW,100,SAV,20,19,202210
FOUN,DRAW,100,SAV,20,19,202210
FOUN,DRAW,100,SAV,20,20,202210
FOUN,DRAW,100,SAV,20,17,202210
FOUN,DRAW,100,SAV,20,18,202210
FOUN,DRAW,100,SAV,20,20,202210
FOUN,DRAW,100,SAV,20,19,202210
FOUN,DRAW,100,SAV,20,18,202210
FOUN,DRAW,100,SAV,20,19,202210
FOUN,DRAW,100,SAV,20,18,202210
FOUN,DRAW,100,SAV,20,19,202210
FOUN,DRAW,100,SAV,20,18,202210
FOUN,DRAW,100,SAV,20,15,202210
FOUN,DRAW,100,SAV,20,19,202210
FOUN,DRAW,100,SAV,20,19,202210
FOUN,DRAW,100,SAV,20,18,202210
FOUN,DRAW,100,SAV,20,18,202210
FOUN,DRAW,100,SAV,20,19,202210
FOUN,DRAW,100,SAV,20,18,202210
FOUN,DRAW,100,SAV,20,20,202210
FOUN,DRAW,100,SAV,20,18,202210
FOUN,DRAW,100,SAV,20,19,202210
FOUN,DRAW,100,SAV,20,20,202210
FOUN,DRAW,100,SAV,20,17,202210
FOUN,DRAW,100,SAV,20,18,202210
FOUN,DRAW,100,SAV,20,20,202210
FOUN,DRAW,100,SAV,20,18,202210
FOUN,DRAW,100,SAV,20,20,202210
FOUN,DRAW,100,SAV,20,18,202210
FOUN,DRAW,100,SAV,20,17,202210
FOUN,DRAW,100,SAV,20,20,202210
FOUN,DRAW,100,SAV,20,19,202210
FOUN,DRAW,100,SAV,20,18,202210
FOUN,DRAW,100,SAV,20,18,202210
FOUN,DRAW,100,SAV,20,18,202210
FOUN,DRAW,100,SAV,20,20,202210
FOUN,DRAW,100,SAV,20,19,202210
FOUN,DRAW,100,SAV,20,20,202210
FOUN,DRAW,100,SAV,20,19,202210
FOUN,DRAW,100,SAV,20,20,202210
FOUN,DRAW,100,SAV,20,19,202210
FOUN,DRAW,100,SAV,20,20,202210
FOUN,DRAW,100,SAV,20,18,202210
FOUN,DRAW,100,SAV,20,19,202210
FOUN,DRAW,100,SAV,20,17,202210
FOUN,DRAW,100,SAV,20,18,202210
FOUN,DRAW,100,SAV,20,20,202210
FOUN,DRAW,100,SAV,20,20,202210
FOUN,DRAW,100,SAV,20,19,202210
FOUN,DRAW,100,SAV,20,20,202210
FOUN,DRAW,100,SAV,20,20,202210
FOUN,DRAW,100,SAV,20,19,202210
FOUN,DRAW,100,SAV,20,18,202210
FOUN,DRAW,100,SAV,20,20,202210
FOUN,DRAW,100,SAV,20,19,202210
FOUN,DRAW,100,SAV,20,20,202210
FOUN,DRAW,100,SAV,20,20,202210
FOUN,DRAW,100,SAV,20,19,202210
FOUN,DRAW,100,SAV,20,20,202210
FOUN,DRAW,100,SAV,20,20,202210
FOUN,DRAW,100,SAV,20,18,202210
FOUN,DRAW,100,SAV,20,20,202210
FOUN,DRAW,100,SAV,20,20,202210
FOUN,DRAW,100,SAV,20,19,202210
FOUN,DRAW,100,SAV,20,20,202210
FOUN,DRAW,100,SAV,20,20,202210
